year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
2022,1,อ่างทอง,144,174,144,174,0,0,"2023-01-16 07:37:07"
2022,1,บุรีรัมย์,1812,1890,1797,1875,2,2,"2023-01-16 07:37:07"
2022,1,นครพนม,363,384,363,384,0,0,"2023-01-16 07:37:07"
2022,1,กรุงเทพมหานคร,9987,11349,9318,10542,10,11,"2023-01-16 07:37:07"
2022,1,ฉะเชิงเทรา,1221,1299,1209,1287,2,2,"2023-01-16 07:37:07"
2022,1,ทั้งประเทศ,103779,112812,99201,107808,105,115,"2023-01-16 07:37:07"
2022,1,ระนอง,141,144,135,138,0,0,"2023-01-16 07:37:07"
2022,1,สุราษฎร์ธานี,1596,1725,1188,1302,2,3,"2023-01-16 07:37:07"
2022,1,พิษณุโลก,750,888,750,888,3,3,"2023-01-16 07:37:07"
2022,1,สมุทรสาคร,999,1032,999,1032,1,1,"2023-01-16 07:37:07"
2022,1,ร้อยเอ็ด,987,1137,984,1134,0,0,"2023-01-16 07:37:07"
2022,1,มุกดาหาร,489,519,489,519,0,0,"2023-01-16 07:37:07"
2022,1,นครศรีธรรมราช,2910,3393,2907,3390,1,1,"2023-01-16 07:37:07"
2022,1,ไม่ระบุ,0,0,0,0,0,0,"2023-01-16 07:37:07"
2022,1,อุทัยธานี,390,396,390,396,1,1,"2023-01-16 07:37:07"
2022,1,จันทบุรี,588,633,585,630,0,0,"2023-01-16 07:37:07"
2022,1,กาฬสินธุ์,1191,1356,1185,1350,0,0,"2023-01-16 07:37:07"
2022,1,มหาสารคาม,1347,1590,1341,1584,0,0,"2023-01-16 07:37:07"
2022,1,ตรัง,765,906,750,891,2,4,"2023-01-16 07:37:07"
2022,1,ปราจีนบุรี,873,924,873,924,0,0,"2023-01-16 07:37:07"
2022,1,นครปฐม,627,681,627,681,0,0,"2023-01-16 07:37:07"
2022,1,หนองคาย,648,675,648,672,0,0,"2023-01-16 07:37:07"
2022,1,ประจวบคีรีขันธ์,963,1074,876,981,0,0,"2023-01-16 07:37:07"
2022,1,เพชรบุรี,438,462,426,450,1,1,"2023-01-16 07:37:07"
2022,1,ชัยภูมิ,744,789,741,786,1,1,"2023-01-16 07:37:07"
2022,1,นนทบุรี,2772,2898,2772,2895,0,0,"2023-01-16 07:37:07"
2022,1,ลำปาง,789,885,789,882,3,3,"2023-01-16 07:37:07"
2022,1,สกลนคร,603,624,597,618,0,0,"2023-01-16 07:37:07"
2022,1,น่าน,546,600,546,600,0,0,"2023-01-16 07:37:07"
